"10000","AZUAY"
"10100","CUENCA"
"10101","BELLAVISTA"
"10102","CAÑARIBAMBA"
"10103","EL BATAN"
"10104","EL SAGRARIO"
"10105","EL VECINO"
"10106","GIL RAMIREZ DAVALOS"
"10107","HUAYNACAPAC"
"10108","MACHANGARA"
"10109","MONAY"
"10110","SAN BLAS"
"10111","SAN SEBASTIAN"
"10112","SUCRE"
"10113","TOTORACOCHA"
"10114","YANUNCAY"
"10115","HERMANO MIGUEL"
"10150","CUENCA"
"10151","BAÑOS"
"10152","CUMBE"
"10153","CHAUCHA"
"10154","CHECA (JIDCAY)"
"10155","CHIQUINTAD"
"10156","LLACAO"
"10157","MOLLETURO"
"10158","NULTI"
"10159","OCTAVIO CORDERO PALACIOS"
"10160","PACCHA"
"10161","QUINGEO"
"10162","RICAURTE"
"10163","SAN JOAQUIN"
"10164","SANTA ANA"
"10165","SAYAUSI"
"10166","SIDCAY"
"10167","SININCAY"
"10168","TARQUI"
"10169","TURI"
"10170","VALLE"
"10171","VICTORIA DEL PORTETE (IRQ"
"10200","GIRON"
"10250","GIRON"
"10251","ASUNCION"
"10252","SAN GERARDO"
"10300","GUALACEO"
"10350","GUALACEO"
"10352","DANIEL CORDOVA TORAL"
"10353","JADAN"
"10354","MARIANO MORENO"
"10356","REMIGIO CRESPO TORAL (GUL"
"10357","SAN JUAN"
"10358","ZHIDMAD"
"10359","LUIS CORDERO VEGA"
"10360","SIMON BOLIVAR"
"10400","NABON"
"10450","NABON"
"10451","COCHAPATA"
"10452","EL PROGRESO (CAB. EN ZHOT"
"10453","LAS NIEVES (CHAYA)"
"10500","PAUTE"
"10550","PAUTE"
"10552","BULAN (JOSE VICTOR IZQUIE"
"10553","CHICAN (GUILLERMO ORTEGA)"
"10554","EL CABO"
"10556","GUARAINAG"
"10559","SAN CRISTOBAL (CARLOS ORD"
"10561","TOMEBAMBA"
"10562","DUG-DUG"
"10600","PUCARA"
"10650","PUCARA"
"10652","SAN RAFAEL DE SHARUG"
"10700","SAN FERNANDO"
"10750","SAN FERNANDO"
"10751","CHUMBLIN"
"10800","SANTA ISABEL"
"10850","SANTA ISABEL ( CHAGUARURC"
"10851","ABDON CALDERON (LA UNION"
"10853","ZHAGLLI (SHAGLLI)"
"10900","SIGSIG"
"10950","SIGSIG"
"10951","CUCHIL (CUTCHIL)"
"10952","GIMA"
"10953","GUEL"
"10954","LUDO"
"10955","SAN BARTOLOME"
"10956","SAN JOSE DE RARANGA"
"11000","OÑA"
"11050","OÑA"
"11051","SUSUDEL"
"11100","CHORDELEG"
"11150","CHORDELEG"
"11151","PRINCIPAL"
"11152","LA UNION"
"11153","LUIS GALARZA ORELLANA"
"11154","SAN MARTIN DE PUZHIO"
"11200","EL PAN"
"11250","EL PAN"
"11253","SAN VICENTE"
"11300","SEVILLA DE ORO"
"11350","SEVILLA DE ORO"
"11351","AMALUZA"
"11352","PALMAS"
"11400","GUACHAPALA"
"11450","GUACHAPALA"
"11500","CAMILO PONCE ENRIQUEZ"
"11550","CAMILO PONCE ENRIQUEZ"
"11551","EL CARMEN DE PIJILI"
"20000","BOLIVAR"
"20100","GUARANDA"
"20101","ANGEL POLIBIO CHAVEZ"
"20102","GABRIEL IGNACIO VEINTIMILL"
"20103","GUANUJO"
"20150","GUARANDA"
"20151","FACUNDO VELA"
"20153","JULIO E. MORENO (CATANAHU"
"20155","SALINAS"
"20156","SAN LORENZO"
"20157","SAN SIMON (YACOTO)"
"20158","SANTAFE (SANTA FE)"
"20159","SIMIATUG"
"20160","SAN LUIS DE PAMBIL"
"20200","CHILLANES"
"20250","CHILLANES"
"20251","SAN JOSE DEL TAMBO(TAMBO)"
"20300","CHIMBO"
"20350","SAN JOSE DE CHIMBO"
"20351","ASUNCION (ASANCOTO)"
"20353","MAGDALENA (CHAPACOTO)"
"20354","SAN SEBASTIAN"
"20355","TELIMBELA"
"20400","ECHEANDIA"
"20450","ECHEANDIA"
"20500","SAN MIGUEL"
"20550","SAN MIGUEL"
"20551","BALSAPAMBA"
"20552","BILOVAN"
"20553","REGULO DE MORA"
"20554","SAN PABLO"
"20555","SANTIAGO"
"20556","SAN VICENTE"
"20600","CALUMA"
"20650","CALUMA"
"20700","LAS NAVES"
"20701","LAS MERCEDES"
"20702","LAS NAVES"
"20750","LAS NAVES(CABECERA)"
"30000","CAÑAR"
"30100","AZOGUES"
"30101","AURELIO BAYAS MARTINEZ"
"30102","AZOGUES"
"30103","BORRERO"
"30104","SAN FRANCISCO"
"30150","AZOGUES"
"30151","COJITAMBO"
"30153","GUAPAN"
"30154","JAVIER LOYOLA (CHUQUIPATA"
"30155","LUIS CORDERO"
"30156","PINDILIG"
"30157","RIVERA"
"30158","SAN MIGUEL"
"30160","TADAY"
"30200","BIBLIAN"
"30250","BIBLIAN"
"30251","NAZON (CAB. EN PAMPA DE D"
"30252","SAN FRANCISCO DE SAGEO"
"30253","TURUPAMBA"
"30254","JERUSALEN"
"30300","CAÑAR"
"30350","CAÑAR"
"30351","CHONTAMARCA"
"30352","CHOROCOPTE"
"30353","GENERAL MORALES"
"30354","GUALLETURO"
"30355","HONORATO VASQUEZ"
"30356","INGAPIRCA"
"30357","JUNCAL"
"30358","SAN ANTONIO"
"30361","ZHUD"
"30362","VENTURA"
"30363","DUCUR"
"30400","LA TRONCAL"
"30450","LA TRONCAL"
"30451","MANUEL J. CALLE"
"30452","PANCHO NEGRO"
"30500","EL TAMBO"
"30550","EL TAMBO"
"30600","DELEG"
"30650","DELEG"
"30651","SOLANO"
"30700","SUSCAL"
"30750","SUSCAL"
"40000","CARCHI"
"40100","TULCAN"
"40101","GONZALEZ SUAREZ"
"40102","TULCAN"
"40150","TULCAN"
"40151","EL CARMELO (EL PUN)"
"40153","JULIO ANDRADE (OREJUELA)"
"40154","MALDONADO"
"40155","PIOTER"
"40156","TOBAR DONOSO (LA BOCANA)"
"40157","TUFIÑO"
"40158","URBINA (TAYA)"
"40159","EL CHICAL"
"40161","SANTA MARTHA DE CUBA"
"40200","BOLIVAR"
"40250","BOLIVAR"
"40251","GARCIA MORENO"
"40252","LOS ANDES"
"40253","MONTE OLIVO"
"40254","SAN VICENTE DE PUSIR"
"40255","SAN RAFAEL"
"40300","ESPEJO"
"40301","EL ANGEL"
"40302","27 DE SEPTIEMBRE"
"40350","EL ANGEL"
"40351","EL GOALTAL"
"40352","LA LIBERTAD (ALIZO)"
"40353","SAN ISIDRO"
"40400","MIRA"
"40450","MIRA (CHONTAHUASI)"
"40451","CONCEPCION"
"40452","JIJON Y CAAMAÑO(CAB RIO BLAN"
"40453","JUAN MONTALVO (SAN IGNACI"
"40500","MONTUFAR"
"40501","GONZALEZ SUAREZ"
"40502","SAN JOSE"
"40550","SAN GABRIEL"
"40551","CRISTOBAL COLON"
"40552","CHITAN DE NAVARRETE"
"40553","FERNANDEZ SALVADOR"
"40554","LA PAZ"
"40555","PIARTAL"
"40600","SAN PEDRO DE HUACA"
"40650","HUACA"
"40651","MARISCAL SUCRE"
"50000","COTOPAXI"
"50100","LATACUNGA"
"50101","ELOY ALFARO(SAN FELIPE)"
"50102","IGNACIO FLORES(PARQUE F.)"
"50103","JUAN MONTALVO(S. SEBASTI)"
"50104","LA MATRIZ"
"50105","SAN BUENAVENTURA"
"50150","LATACUNGA"
"50151","ALAQUES (ALAQUEZ)"
"50152","BELISARIO QUEVEDO (GUANAI"
"50153","GUAITACAMA (GUAYTACAMA)"
"50154","JOSEGUANGO BAJO"
"50156","MULALO"
"50157","11 DE NOVIEMBRE (ILINCHIS"
"50158","POALO"
"50159","SAN JUAN DE PASTOCALLE"
"50161","TANICUCHI"
"50162","TOACASO"
"50200","LA MANA"
"50201","EL CARMEN"
"50202","LA MANA"
"50203","EL TRIUNFO"
"50250","LA MANA"
"50251","GUASAGANDA (CAB.EN GUASAG"
"50252","PUCAYACU"
"50300","PANGUA"
"50350","EL CORAZON"
"50351","MORASPUNGO"
"50352","PINLLOPATA"
"50353","RAMON CAMPAÑA"
"50400","PUJILI"
"50450","PUJILI"
"50451","ANGAMARCA"
"50453","GUANGAJE"
"50455","LA VICTORIA"
"50456","PILALO"
"50457","TINGO"
"50458","ZUMBAHUA"
"50500","SALCEDO"
"50550","SAN MIGUEL"
"50551","ANTONIO JOSE HOLGUIN"
"50552","CUSUBAMBA"
"50553","MULALILLO"
"50554","MULLIQUINDIL (SANTA ANA)"
"50555","PANSALEO"
"50600","SAQUISILI"
"50650","SAQUISILI"
"50651","CANCHAGUA"
"50652","CHANTILIN"
"50653","COCHAPAMBA"
"50700","SIGCHOS"
"50750","SIGCHOS"
"50751","CHUGCHILAN"
"50752","ISINLIVI"
"50753","LAS PAMPAS"
"50754","PALO QUEMADO"
"60000","CHIMBORAZO"
"60100","RIOBAMBA"
"60101","LIZARZABURU"
"60102","MALDONADO"
"60103","VELASCO"
"60104","VELOZ"
"60105","YARUQUIES"
"60106","LICAN"
"60150","RIOBAMBA"
"60151","CACHA (CAB. EN MACHANGARA"
"60152","CALPI"
"60153","CUBIJIES"
"60154","FLORES"
"60156","LICTO"
"60157","PUNGALA"
"60158","PUNIN"
"60159","QUIMIAG"
"60160","SAN JUAN"
"60161","SAN LUIS"
"60200","ALAUSI"
"60250","ALAUSI"
"60251","ACHUPALLAS"
"60253","GUASUNTOS"
"60254","HUIGRA"
"60255","MULTITUD"
"60256","PISTISHI (NARIZ DEL DIABL"
"60257","PUMALLACTA (PUMAL-LACTA)"
"60258","SEVILLA"
"60259","SIBAMBE"
"60260","TIXAN"
"60300","COLTA"
"60301","CAJABAMBA"
"60302","SICALPA"
"60350","VILLA LA UNION (CAJABAMBA"
"60351","CAÑI"
"60352","COLUMBE"
"60353","JUAN DE VELASCO (PANGOR)"
"60354","SANTIAGO DE QUITO"
"60400","CHAMBO"
"60450","CHAMBO"
"60500","CHUNCHI"
"60550","CHUNCHI"
"60551","CAPZOL"
"60552","COMPUD"
"60553","GONZOL"
"60554","LLAGOS"
"60600","GUAMOTE"
"60650","GUAMOTE"
"60651","CEBADAS"
"60652","PALMIRA"
"60700","GUANO"
"60701","EL ROSARIO"
"60702","LA MATRIZ"
"60750","GUANO"
"60751","GUANANDO"
"60752","ILAPO"
"60753","LA PROVIDENCIA"
"60754","SAN ANDRES"
"60755","SAN GERARDO DE PACAICAGUA"
"60756","SAN ISIDRO DE PATULU"
"60757","SAN JOSE DEL CHAZO"
"60758","SANTA FE DE GALAN"
"60759","VALPARAISO"
"60800","PALLATANGA"
"60850","PALLATANGA"
"60900","PENIPE"
"60950","PENIPE"
"60951","EL ALTAR"
"60952","MATUS"
"60953","PUELA"
"60954","SAN ANTONIO DE BAYUSHIG"
"60955","LA CANDELARIA"
"60956","BILBAO (CAB.EN QUILLUYACU)"
"61000","CUMANDA"
"61050","CUMANDA"
"70000","EL ORO"
"70100","MACHALA"
"70101","LA PROVIDENCIA"
"70102","MACHALA"
"70103","PUERTO BOLIVAR"
"70104","NUEVE DE MAYO"
"70105","EL CAMBIO"
"70150","MACHALA"
"70152","EL RETIRO"
"70200","ARENILLAS"
"70250","ARENILLAS"
"70251","CHACRAS"
"70254","PALMALES"
"70255","CARCABON"
"70300","ATAHUALPA"
"70350","PACCHA"
"70351","AYAPAMBA"
"70352","CORDONCILLO"
"70353","MILAGRO"
"70354","SAN JOSE"
"70355","SAN JUAN DE CERRO AZUL"
"70400","BALSAS"
"70450","BALSAS"
"70451","BELLAMARIA"
"70500","CHILLA"
"70550","CHILLA"
"70600","EL GUABO"
"70650","EL GUABO"
"70651","BARBONES (SUCRE)"
"70652","LA IBERIA"
"70653","TENDALES (CABECERA)"
"70654","RIO BONITO"
"70700","HUAQUILLAS"
"70701","ECUADOR"
"70702","EL PARAISO"
"70703","HUALTACO"
"70704","MILTON REYES"
"70705","UNION LOJANA"
"70750","HUAQUILLAS"
"70800","MARCABELI"
"70850","MARCABELI"
"70851","EL INGENIO"
"70900","PASAJE"
"70901","BOLIVAR"
"70902","LOMA DE FRANCO"
"70903","OCHOA LEON(MATRIZ)"
"70904","TRES CERRITOS"
"70950","PASAJE"
"70951","BUENAVISTA"
"70952","CASACAY"
"70953","LA PEAÑA"
"70954","PROGRESO"
"70955","UZHCURRUMI"
"70956","CAÑA QUEMADA"
"71000","PIÑAS"
"71001","LA MATRIZ"
"71002","LA SUSAYA"
"71003","PIÑAS GRANDE"
"71050","PIÑAS"
"71051","CAPIRO (CABECERA)"
"71052","LA BOCANA"
"71053","MOROMORO (CAB. EN EL VADO"
"71054","PIEDRAS"
"71055","SAN ROQUE (AMBROSIO MALDO"
"71056","SARACAY"
"71100","PORTOVELO"
"71150","PORTOVELO"
"71151","CURTINCAPA"
"71152","MORALES"
"71153","SALATI"
"71200","SANTA ROSA"
"71201","SANTA ROSA"
"71202","JELI"
"71203","JAMBELI"
"71204","JUMON"
"71205","NUEVO SANTA ROSA"
"71250","SANTA ROSA"
"71251","BELLAVISTA"
"71252","JAMBELI"
"71253","LA AVANZADA"
"71254","SAN ANTONIO"
"71255","TORATA"
"71256","VICTORIA"
"71257","BELLAMARIA"
"71300","ZARUMA"
"71350","ZARUMA"
"71351","ABAÑIN"
"71352","ARCAPAMBA"
"71353","GUANAZAN"
"71354","GUIZHAGUIÑA"
"71355","HUERTAS"
"71356","MALVAS"
"71357","MULUNCAY GRANDE"
"71358","SINSAO"
"71359","SALVIAS"
"71400","LAS LAJAS"
"71401","LA VICTORIA"
"71402","PLATANILLOS"
"71403","VALLE HERMOSO"
"71450","LA VICTORIA"
"71451","LA LIBERTAD"
"71452","EL PARAISO"
"71453","SAN ISIDRO"
"80000","ESMERALDAS"
"80100","ESMERALDAS"
"80101","BARTOLOME RUIZ(CESAR FR)"
"80102","5 DE AGOSTO"
"80103","ESMERALDAS"
"80104","LUIS TELLO(LAS PALMAS)"
"80105","SIMON PLAZA TORRES"
"80150","ESMERALDAS"
"80152","CAMARONES (CAB. EN SAN VI"
"80153","CRNEL. CARLOS CONCHA TORR"
"80154","CHINCA"
"80159","MAJUA"
"80163","SAN MATEO"
"80165","TABIAZO"
"80166","TACHINA"
"80168","VUELTA LARGA"
"80200","ELOY ALFARO"
"80250","VALDEZ (LIMONES)"
"80251","ANCHAYACU"
"80252","ATAHUALPA (CAB. EN CAMARO"
"80253","BORBON"
"80254","LA TOLA"
"80255","LUIS VARGAS TORRES (CAB."
"80256","MALDONADO"
"80257","PAMPANAL DE BOLIVAR"
"80258","SAN FRANCISCO DE ONZOLE"
"80259","SANTO DOMINGO DE ONZOLE"
"80260","SELVA ALEGRE"
"80261","TELEMBI"
"80262","COLON ELOY DEL MARIA"
"80263","SAN JOSE DE CAYAPAS"
"80264","TIMBIRE"
"80300","MUISNE"
"80350","MUISNE"
"80351","BOLIVAR"
"80352","DAULE"
"80353","GALERA"
"80354","QUINGUE(OLMEDO PERDOMO FR"
"80355","SALIMA"
"80356","SAN FRANCISCO"
"80357","SAN GREGORIO"
"80358","SAN JOSE DE CHAMANGA(CABE"
"80400","QUININDE"
"80450","ROSA ZARATE (QUININDE)"
"80451","CUBE"
"80452","CHURA (CHANCAMA) (CABECER"
"80453","MALIMPIA"
"80454","VICHE"
"80455","LA UNION"
"80500","SAN LORENZO"
"80550","SAN LORENZO"
"80551","ALTO TAMBO (CAB. EN GUADU"
"80552","ANCON (PICHANGAL) (CABECE"
"80553","CALDERON"
"80554","CARONDELET"
"80555","5 DE JUNIO (CAB. EN UIMBI"
"80556","CONCEPCION"
"80557","MATAJE (CAB. EN SANTANDER"
"80558","SAN JAVIER DE CACHAVI (CA"
"80559","SANTA RITA"
"80560","TAMBILLO"
"80561","TULULBI (CAB. EN RICAURTE"
"80562","URBINA"
"80600","ATACAMES"
"80650","ATACAMES"
"80651","LA UNION"
"80652","SUA (CABECERA EN LA BOCA"
"80653","TONCHIGUE"
"80654","TONSUPA"
"80700","RIOVERDE"
"80750","RIOVERDE"
"80751","CHONTADURO"
"80752","CHUMUNDE"
"80753","LAGARTO"
"80754","MONTALVO"
"80755","ROCAFUERTE"
"80800","LA CONCORDIA"
"80850","LA CONCORDIA"
"90000","GUAYAS"
"90100","GUAYAQUIL"
"90101","AYACUCHO"
"90102","BOLIVAR(SAGRARIO)"
"90103","CARBO(CONCEPCION)"
"90104","FEBRES CORDERO"
"90105","GARCIA MORENO"
"90106","LETAMENDI"
"90107","NUEVE DE OCTUBRE"
"90108","OLMEDO(SAN ALEJO)"
"90109","ROCA"
"90110","ROCAFUERTE"
"90111","SUCRE"
"90112","TARQUI"
"90113","URDANETA"
"90114","XIMENA"
"90150","GUAYAQUIL"
"90152","JUAN GOMEZ RENDON (PROGRE"
"90153","MORRO"
"90156","POSORJA"
"90157","PUNA"
"90158","TENGUEL"
"90200","ALFREDO BAQUERIZO MORENO"
"90250","ALFREDO BAQUERIZO MORENO"
"90300","BALAO"
"90350","BALAO"
"90400","BALZAR"
"90450","BALZAR"
"90500","COLIMES"
"90550","COLIMES"
"90551","SAN JACINTO"
"90600","DAULE"
"90601","DAULE"
"90602","LA AURORA"
"90603","BANIFE"
"90604","EMILIANO CAICEDO MARCOS"
"90605","MAGRO"
"90606","PADRE BAUTISTA AGUIRRE"
"90607","SANTA CLARA"
"90608","VICENTE PIEDRAHITA"
"90650","DAULE"
"90652","JUAN BAUTISTA AGUIRRE"
"90653","LAUREL"
"90654","LIMONAL"
"90656","LOS LOJAS (ENRIQUE BAQUER"
"90700","DURAN"
"90701","ELOY ALFARO"
"90702","EL RECREO"
"90750","ELOY ALFARO (DURAN)"
"90800","EMPALME"
"90850","VELASCO IBARRA (EL EMPALM"
"90851","GUAYAS (PUEBLO NUEVO)"
"90852","EL ROSARIO"
"90900","EL TRIUNFO"
"90950","EL TRIUNFO"
"91000","MILAGRO"
"91050","MILAGRO"
"91051","CHOBO"
"91053","MARISCAL SUCRE (HUAQUES)"
"91054","ROBERTO ASTUDILLO (CABECE"
"91100","NARANJAL"
"91150","NARANJAL"
"91151","JESUS MARIA"
"91152","SAN CARLOS"
"91153","SANTA ROSA DE FLANDES"
"91154","TAURA"
"91200","NARANJITO"
"91250","NARANJITO"
"91300","PALESTINA"
"91350","PALESTINA"
"91400","PEDRO CARBO"
"91450","PEDRO CARBO"
"91451","VALLE DE LA VIRGEN"
"91452","SABANILLA"
"91600","SAMBORONDON"
"91601","SAMBORONDON"
"91602","LA PUNTILLA"
"91650","SAMBORONDON"
"91651","TARIFA"
"91800","SANTA LUCIA"
"91850","SANTA LUCIA"
"91900","SALITRE (URBINA JADO)"
"91901","BOCANA"
"91902","CANDILEROS"
"91903","CENTRAL"
"91904","PARAISO"
"91905","SAN MATEO"
"91950","EL SALITRE (LAS RAMAS)"
"91951","GENERAL VERNAZA (DOS ESTE"
"91952","LA VICTORIA (ÑAUZA)"
"91953","JUNQUILLAL"
"92000","SAN JACINTO DE YAGUACHI"
"92050","SAN JACINTO DE JAHUACHI"
"92053","GRAL. PEDRO J. MONTERO"
"92055","YAGUACHI VIEJO (CONE)"
"92056","VIRGEN DE FATIMA"
"92100","PLAYAS (GENERAL VILLAMIL)"
"92150","GENERAL VILLAMIL(PLAYAS)"
"92200","SIMON BOLIVAR"
"92250","SIMON BOLIVAR"
"92251","CRNEL.LORENZO DE GARAICOA"
"92300","CORONEL MARCELINO MARIDUE"
"92350","CORONEL MARCELINO MARIDUE"
"92400","LOMAS DE SARGENTILLO"
"92450","LOMAS DE SARGENTILLO"
"92500","NOBOL(VICENTE PIEDRAHITA)"
"92550","NARCISA DE JESUS"
"92700","GENERAL ANTONIO ELIZALDE"
"92750","GENERAL ANTONIO ELIZALDE-"
"92800","ISIDRO AYORA"
"92850","ISIDRO AYORA"
"100000","IMBABURA"
"100100","IBARRA"
"100101","CARANQUI"
"100102","GUAYAQUIL DE ALPACHACA"
"100103","SAGRARIO"
"100104","SAN FRANCISCO"
"100105","LA DOLOROSA DEL PRIORAT"
"100150","IBARRA"
"100151","AMBUQUI"
"100152","ANGOCHAGUA"
"100153","CAROLINA"
"100154","LA ESPERANZA"
"100155","LITA"
"100156","SALINAS"
"100157","SAN ANTONIO"
"100200","ANTONIO ANTE"
"100201","ANDRADE MARIN (LOURDES)"
"100202","ATUNTAQUI"
"100250","ATUNTAQUI"
"100251","IMBAYA (SAN LUIS DE COBUE"
"100252","SAN FRANCISCO DE NATABUEL"
"100253","SAN JOSE DE CHALTURA"
"100254","SAN ROQUE"
"100300","COTACACHI"
"100301","SAGRARIO"
"100302","SAN FRANCISCO"
"100350","COTACACHI"
"100351","APUELA"
"100352","GARCIA MORENO (LLURIMAGU"
"100353","IMANTAG"
"100354","PEÑAHERRERA"
"100355","PLAZA GUTIERREZ (CALVARI"
"100356","QUIROGA"
"100357","6 DE JULIO DE CUELLAJE"
"100358","VACAS GALINDO (EL CHURO)"
"100400","OTAVALO"
"100401","JORDAN"
"100402","SAN LUIS"
"100450","OTAVALO"
"100451","DR. MIGUEL EGAS CABEZAS"
"100452","EUGENIO ESPEJO (CALPAQUI)"
"100453","GONZALEZ SUAREZ"
"100454","PATAQUI"
"100455","SAN JOSE DE QUICHINCHE"
"100456","SAN JUAN DE ILUMAN"
"100457","SAN PABLO"
"100458","SAN RAFAEL"
"100459","SELVA ALEGRE (CABECERA)"
"100500","PIMAMPIRO"
"100550","PIMAMPIRO"
"100551","CHUGA"
"100552","MARIANO ACOSTA"
"100553","SAN FRANCISCO DE SIGSIPAM"
"100600","SAN MIGUEL DE URCUQUI"
"100650","URCUQUI"
"100651","CAHUASQUI"
"100652","LA MERCED DE BUENOS AIRES"
"100653","PABLO ARENAS"
"100654","SAN BLAS"
"100655","TUMBABIRO"
"110000","LOJA"
"110100","LOJA"
"110101","EL SAGRARIO"
"110102","SAN SEBASTIAN"
"110103","SUCRE"
"110104","VALLE"
"110150","LOJA"
"110151","CHANTACO"
"110152","CHUQUIRIBAMBA"
"110153","EL CISNE"
"110154","GUALEL"
"110155","JIMBILLA"
"110156","MALACATOS (VALLADOLID)"
"110157","SAN LUCAS"
"110158","SAN PEDRO DE VILCABAMBA"
"110159","SANTIAGO"
"110160","TAQUIL (MIGUEL RIOFRIO)"
"110161","VILCABAMBA (VICTORIA)"
"110162","YANGANA (ARSENIO CASTILLO"
"110163","QUINARA"
"110200","CALVAS"
"110201","CARIAMANGA"
"110202","CHILE"
"110203","SAN VICENTE"
"110250","CARIAMANGA"
"110251","COLAISACA"
"110252","EL LUCERO"
"110253","UTUANA"
"110254","SANGILLIN"
"110300","CATAMAYO"
"110301","CATAMAYO"
"110302","SAN JOSE"
"110350","CATAMAYO (LA TOMA)"
"110351","EL TAMBO"
"110352","GUAYQUICHUMA"
"110353","SAN PEDRO DE LA BENDITA"
"110354","ZAMBI"
"110400","CELICA"
"110450","CELICA"
"110451","CRUZPAMBA (CABECERA)"
"110455","POZUL (SAN JUAN DE POZUL)"
"110456","SABANILLA"
"110457","TNTE. MAXIMILIANO RODRIGU"
"110500","CHAHUARPAMBA"
"110550","CHAGUARPAMBA"
"110551","BUENAVISTA"
"110552","EL ROSARIO"
"110553","SANTA RUFINA"
"110554","AMARILLOS"
"110600","ESPINDOLA"
"110650","AMALUZA"
"110651","BELLAVISTA"
"110652","JIMBURA"
"110653","SANTA TERESITA"
"110654","27 DE ABRIL (CAB. NARANJA)"
"110655","EL INGENIO"
